"","siglo","lustro","tasa.crec.promedio","direccion","signo","plot.tasa"
"1","Siglo XIX","00 — 04",-2.21444256867975,-1,-1,4.01787086971139
"2","Siglo XIX","05 — 09",0.904059000849344,-1,1,2.56721446634124
"3","Siglo XIX","10 — 14",-3.42119107221629,-1,-1,4.99404474513963
"4","Siglo XIX","15 — 19",0.167581339729662,-1,1,1.10529089683632
"5","Siglo XIX","20 — 24",-5.93129407566635,-1,-1,6.57564702608099
"6","Siglo XIX","25 — 29",0.510204670777983,-1,1,1.92857254205578
"7","Siglo XIX","30 — 34",2.18540624910483,-1,1,3.99144229019714
"8","Siglo XIX","35 — 39",4.90834713299597,-1,1,5.98179325951178
"9","Siglo XIX","40 — 44",0.74430552760335,-1,1,2.32937487241286
"10","Siglo XIX","45 — 49",3.17800397401309,-1,1,4.81327840152171
"11","Siglo XIX","50 — 54",4.84691956885384,-1,1,5.94424458253061
"12","Siglo XIX","55 — 59",0.79389788724498,-1,1,2.40572558659875
"13","Siglo XIX","60 — 64",1.06867862427918,-1,1,2.79117666423951
"14","Siglo XIX","65 — 69",4.28155837157923,-1,1,5.58682025205864
"15","Siglo XIX","70 — 74",-0.0416297108738595,-1,-1,0.550890726251982
"16","Siglo XIX","75 — 79",-4.91884127251698,-1,-1,5.98818443909744
"17","Siglo XIX","80 — 84",2.36033769119624,-1,1,4.14811544786552
"18","Siglo XIX","85 — 89",1.63947106100178,-1,1,3.45712945009339
"19","Siglo XIX","90 — 94",0.534692515912959,-1,1,1.97431214376184
"20","Siglo XIX","95 — 99",7.65470276092738,-1,1,7.47012604493128
"21","Siglo XX","00 — 04",3.69732635993761,1,1,5.19167691251537
"22","Siglo XX","05 — 09",4.20347168764562,1,1,5.53563985488007
"23","Siglo XX","10 — 14",3.41545640485281,1,1,4.98985743196907
"24","Siglo XX","15 — 19",4.61372617794845,1,1,5.79948823925389
"25","Siglo XX","20 — 24",5.20433824045057,1,1,6.15951505987969
"26","Siglo XX","25 — 29",7.28942771411785,1,1,7.28971385144294
"27","Siglo XX","30 — 34",3.36918405252929,1,1,4.95594105523245
"28","Siglo XX","35 — 39",1.64551635089819,1,1,3.46349739397156
"29","Siglo XX","40 — 44",1.14794232733773,1,1,2.89283590379614
"30","Siglo XX","45 — 49",3.98572213434169,1,1,5.39035382506111
"31","Siglo XX","50 — 54",5.7929503214719,1,1,6.49850812444904
"32","Siglo XX","55 — 59",3.24687561543027,1,1,4.8651539787027
"33","Siglo XX","60 — 64",7.15381942876109,1,1,7.22158871964254
"34","Siglo XX","65 — 69",3.18114044949774,1,1,4.81565300627428
"35","Siglo XX","70 — 74",3.30085716378999,1,1,4.9054305340132
"36","Siglo XX","75 — 79",2.4891515067425,1,1,4.25980216490776
"37","Siglo XX","80 — 84",-0.504820881526358,1,-1,1.91837020054189
"38","Siglo XX","85 — 89",-0.152555856391867,1,-1,1.05457678387906
"39","Siglo XX","90 — 94",5.15507422828154,1,1,6.13029290688238
"40","Siglo XX","95 — 99",2.9107413973964,1,1,4.6064416621748
